Time_Seconds,Messages_Per_Second
0,3053.2
10,3563.9
20,2902.5
30,2304.3
40,936.2
50,873.6
60,1164.3
70,881.9
80,1660.9
90,3155.3
100,3363.3
110,2310.1
120,2943.6
130,3108.9
140,2545.4
150,2192.5
160,3276.5
170,3168.6
180,3215.9
190,3925.4
200,3318.0
210,2451.9
220,2687.9
230,3654.5
240,3699.4
250,3637.9
260,2962.2
270,3153.1
280,2908.4
290,2641.4
300,3193.3
310,2646.2
320,2714.7
330,2535.8
340,2968.7
350,2962.5
360,2544.6
370,2628.9
380,2296.8
390,2148.4
400,3195.0
410,3165.0
420,2977.2
430,3278.2
440,3318.3
450,2874.5
460,3439.4
470,3514.5
480,3812.6
490,2725.9
500,3169.4
510,2740.3
520,3501.6
530,3573.1
540,3280.6
550,2951.1
560,3007.6
570,3044.3
580,3829.4
590,3187.1
600,3021.8
610,3150.0
620,3845.8
630,2915.1
640,3721.5
650,3476.5
660,2892.5
670,2957.2
680,3236.8
690,3026.7
700,3408.8
710,3195.7
720,3518.6
730,3002.7
740,2729.3
750,2664.6
760,2847.4
770,1166.2
780,1461.8
790,2202.5
800,3166.0
810,2835.5
820,3187.0
830,3274.8
840,3330.6
850,3373.0
860,3762.2
870,2885.0
880,2849.0
890,2583.2
900,2826.5
910,3108.1
920,2992.5
930,3128.8
940,3046.1
950,3553.9
960,2442.2
970,3211.7
980,2719.3
990,2892.5
1000,2642.3
1010,3223.6
1020,3107.8
1030,3485.2
1040,3512.5
1050,2642.1
1060,2332.0
1070,2377.1
1080,2544.5
1090,2971.5
1100,3050.3
1110,2624.9
1120,3317.9
1130,3367.6
1140,2801.0
1150,2964.5
1160,3283.2
1170,3126.9
1180,3193.3
1190,3401.6
1200,1567.2
1210,2050.6
1220,1086.7
1230,2094.5
1240,2006.9
1250,1178.1
1260,3292.3
1270,3701.8
1280,2643.9
1290,1245.2
1300,2594.8
1310,2217.8
1320,2996.1
1330,2675.2
1340,4205.8
1350,3162.3
1360,2453.0
1370,1885.9
1380,1887.0
1390,2714.5
1400,3671.0
1410,3317.6
1420,2932.4
1430,3253.1
1440,3569.3
1450,2862.2
1460,3750.4
1470,2731.4
1480,2957.0
1490,1959.7
1500,3317.3
1510,2974.7
1520,3075.6
1530,3123.9
1540,3508.2
1550,3504.6
1560,3321.7
1570,3390.1
1580,3750.7
1590,3403.5
1600,3916.2
1610,3340.9
1620,3474.3
1630,3133.6
1640,3585.9
1650,2842.8
1660,3641.8
1670,2639.7
1680,2805.3
1690,3065.2
1700,3432.2
1710,3002.5
1720,2883.6
1730,3348.9
1740,3529.0
1750,3457.2
1760,3430.4
1770,3358.0
1780,3046.6
1790,3537.8
1800,3947.8
1810,3279.7
1820,3459.6
1830,3037.6
1840,2930.1
1850,3131.8
1860,3306.2
1870,3689.4
1880,3341.3
1890,2932.1
1900,2438.3
1910,2615.0
1920,2438.1
1930,2088.6
1940,1703.1
1950,999.4
1960,543.1
1970,137.4
1980,8.3
